,Reviews,Mood
0,"Saw 'The Emoji Movie' as a big fan of animation, to see whether the concept (which was one that was hard to decide whether it was intriguing or baffling) would work, as someone who has liked the previous work of a lot of the voice actors (i.e. Patrick Stewart) and whether it was as bad as the tsunami of negative publicity before release and when it came out made it out to be.After seeing it, there are worse films out there (animated and otherwise) but 'The Emoji Movie' is a mess, if not quite the recipe/incarnate for cancer that has been described. Regarding the target audience from personal experience (this doesn't mean that it will apply to all audiences or everybody's experiences), 'The Emoji Movie' didn't appeal to either children or adults in my cinema screening. Adults were squirming their way throughout the film and while recognising the things that are referenced were groaning and rolling their eyes at how everything was executed. Children looked like a lot of the ideas were going over their heads and seemed more interested in their bags of sweets and popcorn than what was going on on screen. It was a mix of both with me.The best, or shall we say the least bad, thing about 'The Emoji Movie' is the voice cast. Most of the voice actors gave decent performances (James Corden and Patrick Stewart are the liveliest of the bunch), though a few didn't fit their characters (Maya Rudolph has shown that she can voice act with a lot of bubbly personality but she was just wrong here). They did deserve much better however, and should have known much better, didn't think that Stewart could lose more dignity but he managed it in a embarrassingly misconceived character that he gave much more to than deserved.Everything else comes off badly or worse. There are worse-looking animated films, but the animation never rises above routine, often looking flat and stiff and there is a complete lack of imagination, the colours never popping out at you as they ought like they do from personal experience with ""emojis"". The soundtrack is all noise and no subtlety, and tends to be inappropriate.When it comes to the writing and the story, 'The Emoji Movie' fails. And not just by a little. We are talking hardcore. All the jokes fall flat because of how randomly they tend to be executed and the jokes in quality are juvenile at best and infantile at worst. The script is peppered with dialogue that is overripe and will embarrass even the youngest of cinema goers, when it's not going over their heads. The story, proof that the concept was more of a questionable one than a good one, is not much of one and feels like it was made up as it went along, with the insertion of the likes of Candy Crush, Spotify, Youtube and Facebook being little more than blatant product plugs explored in a mostly throwaway fashion. There are a lot of random and unnecessary scenes and even more so facepalm-worthy moments.Imagination is zero here, with a mishmash of ideas reminiscent of 'Inside Out', 'Wreck It Ralph' and 'The Lego Movie', all three actually being good films (masterpieces in the case of the first two), but without the fun, creativity or emotional investment which are as non-existent as the imagination. The basic theme is a relatable one when done right, but dealt with indifferently. The characters are both bland and annoying, character development is minimal and what there is is rushed.Overall, a mess. While it is a little better than made out, there is the agreement that the film is a disaster that is more poop than it is meh, despite being the general consensus it seems that this review is not going to be popular when it comes to useful votes. Despite being a subjective person, the excessive non-useful votes for the negative reviews and the up-voting of the positive ones are a little suspicious to me. 2/10 Bethany Cox",Negative
1,"'The Emoji Movie"" is a new children's film. One of the posters for it has a picture of whipped poop on the front of it. Was there a focus group done that says kids really want this? This masterpiece takes place inside of some kid's i-phone in a place called Textopolis. Gene is a Meh emoji who just wants to cut loose and show a whole range of emotions, which apparently counts as a malfunction and gets him scheduled for deletion. Now before you think i'm just going to crap on this movie, know that it is kind of fun for a certain age. These killer robots chase Gene and two of his buddies around which always keeps things fast-paced, there's all sorts of promotional tie-ins with Candy Crush, Instagram, and Spotify that while cheap product placement, also are kinda funny and exciting.Like all kids movies nowadays with fairly weak scripts, there's also a soundtrack filled with dance songs that should have kids dancing in the aisles, and guess what, it's not just stuff from your kids generation but some from yours too. Take the stuff that's for you where you can cause a lot of the jokes are either literal bores (Internet trolls are trolls, etc.) or center a lot on cartoons having overly cartoony personalities. There's an overly smiley emoji who borders on the psychotic, joyless Meh emojis. This stuff is kinda funny, but the joke is thin. Then there's the stuff you should expect already going in. Like the jokes centered on the poop emoji, or the Hi-Five emoji saying ""talk to the hand."" Does anyone say this anymore? It's amazing this movie was co-written by Mike White, writer of ""School of Rock"" and Jennifer Aniston's ""The Good Girl"". It's sporadically funny and you can tell it's trying be a kind of ""Wreck It-Ralph"" meets ""Inside Out"" but it's not really inventive enough to be either. The kid whose phone this is never really becomes much of a character and probably the funniest part of this movie is that among a plethora of other scattered and unsubtle messages about including everyone and real friends are better than online ones, this also comes with a message of ""be yourself"" told primarily through emojis who want to be more than themselves. Lastly, and for the love of God I hope this was meant as a joke, there are scenes where the emoji is given way too much credit in the scope of love and life in this film. If this is true then it really does go all the way down from here folks. But that's ""The Emoji Movie"" in a nutshell. You'll laugh in parts, wanna reach over and tell your kids movies used to be so much better than this in others, and finally, just want to weep for the future.If you liked this, please check out Craig James Review on Youtube for more.",Negative
2,"The movie is not that bad I don't understand all that hate, I remember watching it in the theaters few years ago and I loved it.The movie is not that bad go and watch if you want to download the found reviews talk to you.",Negative
3,"I hate this movie so much! It wasted such perfectly good voice actors, and it was a waste of product placement! Man, it ripped off Wreck-it Ralph, The Lego Movie, and Inside Out! The jokes are just stupid! Sure, the animation was fine and all, but still!",Negative
4,"The plot is not exactly stellar, however the performances are good and the jokes are funny and smart.
It is relevant to the present, even though not exaclty easy to relate to the characters.
The message of the movie is also a nice one, inspirational and motivational.
In any case the movie does not have any serious flaws rhat would make it a 3.3 stars movie, it hds the storyline together and coherent, as said it is smart and funny.
If you came across on this movie on TV do not chnage the chanel, it is worth the watch.",Negative
5,"Don't watch it, you'll waste your life!!! Watch Spider-verse instead!!!",Negative
6,Is the Emoji Movie the best movie ever made? Yes.I saw this movie in Japanese captions.,Negative
7,"I know it's really fun to bash this movie, but speaking honestly, I have to say this movie was okay. The story is predictable, the twist was not surprising, the romance between Gene and Jailbreak felt forced, and I didn't care for the humans, but the story at least had structure and competency, and was consistent. The majority of the humor is weak and immature, especially with the Poop Emoji. Some of the gags managed to make me chuckle, not laugh but I did find enjoyment. The animation is good, it's colorful and energetic, and there are some creative scenes, even with the product placement scenes. However the designs of the Emojis are really, really simplistic and some are even creepy. The characters are not interesting. Gene is the same old ""I wan't to fit in"" character, and the other characters are also the same old tropes as well. The characters also have their developments presented in the most generic way possible. The characters that stand out for me is the villain and Gene's parents. Mostly because they supply the best comedy and the villain has an this crazy personality that kept me active. The Emoji Movie is a meh film that's suited to entertain kids.",Negative
8,"This film rips off Wreck It Ralph, Inside Out, and The Lego Movie. The story was boring, the jokes were unfunny, HI-5 was more annoying and obnoxious than funny, and it portrays teens as phone addicts who can't go 5 seconds without their phones, even in class. While I may also be a teen who spends a lot of her time online, I get off when I need to. The animation is good, but good animation cannot save a bad film from being bad. ""Oh, but Galán, you're just not part of the film's target audience!"" I know that, but I'm also not part of the target audience for the films it rips off (Well I was when they came out) and I still enjoy them. Sony cancelled the Popeye movie for this, and the Popeye movie looked like it had more effort put into it, it looked more promising. I luckily didn't have to pay to see it, but to the fellows who rated 1 star and had to pay, I'm sorry.So the only things I liked were the animation, and that the teens looked like actual teens rather than twenty-something year olds (while they cast adults to play teens in live-action teen movies, I've seen some animation where the teens still look like adults).",Negative
9,"I doubt anyone expected this movie to be Citizen Kane but I have to say it at least didn't put me to sleep. Unlike Citizen Kane.The premise of creating a film around emojis is extremely thin, however the result is suprisingly fun with some very good casting choices, such as Tim Miller. The moral of the story is a bit of a miss but I doubt this was the reason most people saw this.It also goes to show that Patrick Stewart is up for a laugh by allowing himself to be cast as the poop emoji, by far the most unique role he's ever taken on.Overall it's great mindless fun for people of all ages and well worth at least one viewing.",Negative
