Reviews,Mood
Its just amazing that no dinosaur hasnt bitten it off yet In what promises to be the conclusion to the series all the main cast members of the previous shows are here Alan Grant Ellie Sattler I actually liked the new characters DaWanda Wise and Mamoudou Athie better than the old ones  they are the only ones that come out of this unscathed The special effects are as expected first class although really A Gigilomopoloposaurus  they just keep getting bigger the dinosaurs AND the names Not sure that its worth the Hollywood BlvdTimes Sq ticket prices   but its an okay way to spend a summer afternoon I think tho Id wait til next weekend when the crowds will be  less,Notr
This movie was so utterly predictable it was a little painful Luckily the nostalgia nods were sprinkled throughout and mostly not forced You can tell they tried to have some funny oneliners which fell flat a lot of the time They need to take some notes from Marvel on those The CGI and action was as good as youd expect and offered favorable intensity The story itself was somewhat lazy IMO Did I mention it was totally predictable I left the theater goingmeh,Notr
I will say this for Colin Trevorrow unlike other Hollywood writersdirectors who seem to be actively spiteful towards the classic sagas they are writing sequels to when Trevorrow says he is a fan of Jurassic Park I believe himThats why Jurassic World Dominion feels for good and for ill like the worlds most expensive fan film cramming in nearly every dinosaur known to man and every character meme and injoke from the previous five movies button up your shirt Malcom Get your hat Grant Oh look Nedrys old Barbasol canIm betting that if the great Pete Postlethwaite had not passed away we would have gotten Roland Tembo rappelling from a helicopter to shoot an Oviraptor in the faceThe movie is at least twenty minutes too long  Hollywood seems incapable to make a nonbloated blockbuster today even Bond movies have the running time of The Thin Red Line  and it doesnt have a shred of the wit and intelligence of my beloved first Jurassic Park but I did like a few setpieces the Therizinosaurus the frozen lake and its always nice to see the awesome Sam Neill back so I guess the fan bait worked to an extent,Notr
Bad script bad acting stupid story a new dinosaur every  minutes too long no suspense Chris Pratt doing the hand thing  million dollar budget for this so many pointless dinosaur fights AND you took  and a half hours to tell me this garbage storyFrankly embarrassing to everyone involved,Notr
Was it perfect No Was it fun Absolutely There will be a lot of things people will pick apart this movie for I for one didnt mind it It was a solid closing chapter to the Jurassic World trilogy It was a nice balance with the newer stars and the OGs A lot of hey I know you from such and such When the casts get combined I was so happy I love my OG Jurassic Park crew They were my main reason for being excited and I wasnt disappointed in that regard A lot of fun sequences really helped keep me entertained It couldve been a bit shorter but Im still happy with what I got from it Go in to have fun It wont do you any good going in expecting a masterpiece Plus it has a ton of baby dinosaurs they were sooooo cute,Notr
I personally enjoyed the film Will everyone like it NoI liked catching up with the old characters and I liked the dinosaur designs The story was a continuation as expectedI had fun,Notr
Before I went to this film because my Grandson is nuts about this series of films I read one newspaper review It wasnt glowing but it was positive Unfortunately this is a mess Others have already talked about the issues I have Granted this is an empty headed summer movie it could still have been done with some serious thought I was hanging in there throughout with a new dinosaur attack every three minutes and velociraptors going at fifty miles per hour and not getting tired Humans being assaulted time after time and yet showing no fatigue I also didnt see a scratch on any of them But the best of all was the promise made to a baby dinosaur and his mother that precluded saving the world from famine Not to mentioned the coincidences of everyone showing up in just the right places I still dont understand how they got into that facility so easily The return of the original cast was not helpful other than Jeff Goldblums sarcasm Anyway its all been said This is a poor movie,Notr
Yeah its another one of the World editions of Jurassic ParkIts really cheesy like all the World movies but its still entertaining This one has a really weak story which you figure out almost within minutes of the movie The dinos are so very much in the background here compared to the other movies,Notr
While this movie isnt perfect it doesnt deserve the hate it receives online There are some laughable and cringey scenes but overall the movie has some great shots and was very fun and enjoyable,Notr
This movie attempts to exploit the nostalgia of the original characters and it fails miserably at every level The action the editing the direction its all terrible The movie has no focus too many characters that have nothing to do and nothing to do with each other The only positive thing I can say about this movie is they did use plenty of real props for some of the dinosaurs so its not like the actors are always looking at a green screen However everyone just feels kind of disconnected from the movie Like everyone involved knew the script was trash and the movie would just be a cash grab because they knew idiots like myself would go and see it Oh well Just Hollywood doing what they do best,Notr
I read review after review of bad this is how there are no dinosaurs how the plot sucksso I thought OK I wont see itbut my son wanted to go so I took himThose reviews were SO OFF There are as many dinosaurs in this as there were in ANY of the JPJW films Its an absolutely blast Its a really fun exciting summer movie How heartfelt and amazing does the plot have to be Its a summer blockbuster and as a fan of the original JP films I thought it was great Dont blindly trust reviews  see for yourself,Notr
