Reviews,Mood
Confidently directed dark brooding and packed with impressive action sequences and a complex story The Dark Knight includes a careerdefining turn from Heath Ledger as well as other Oscar worthy performances TDK remains not only the best Batman movie but comic book movie ever created,Positive
This movie is a work of art The finest sequel ever made I dont think we will see another movie like this for a long time Heath Ledgers Joker is the best movie charachter I have ever seen by far Avengers Endgame is great but The Dark Knight is much better The best Batman ever The best Joker ever The best DC movie ever The best superhero movie ever Ando for me the best movie ever,Positive
"It is just what you want for the best movie Great story great acting thrilling twist
Just watched Joker in  I just has to come back and give dark knight a  And thanks to Heath Ledger for the exceptional performs",Positive
Weve been subjected to enormous amounts of hype and marketing for the Dark Knight Weve seen Joker scavenger hunts and one of the largest viral campaigns in advertising history and it culminates with the actual release of the movieEverything thats been said is pretty much spot on This is the first time I can remember where a summer blockbuster film far surpasses the hypeFor as much action as there is in this movie its the acting that makes it a great piece of work Between all the punches explosions and stuntwork is some great dialog work All the actors have their momentsBales Batman is the definitive Batman because we see everything in this character finally on film Martial arts skills cunning great tactical thinking forensic application technological genius to advance or improve Luscious Foxs inventionstechnological breakthroughs intimidating personality and even a little swashbuckling As for Heath yes he gets credit for his performance as the Joker But you have to also recognize Jonathan and Chris Nolan for the writing and treatment of the character Its not just the fact that Ledger makes the Joker so menacing but the Nolans have given the character this great manifesto that drives its actions The Jokers stance on chaos order anarchy the morality of the average modern human being make the character so interesting psychologically The Nolans drafted a complex character and only a perfect performance couldve pulled something like this off Thats how difficult of a role this was and thats why Ledgers performance is so greatThis isnt an action movie Its a film that explores literary themes of the hero and villain as well as order and anarchy Yes listen to the dialog because its all in there,Positive
I couldnt believe The Dark knight could live up to the hype Thats perhaps the biggest surprise The secret I believe is a stunning mature intelligent script That makes it the best superhero movie ever made As if that wasnt enough Heath Ledger He the newest of the tragic modern icons present us with a preview of something well never see A fearless extraordinary actor capable to fill up with humanity even the most grotesque of villains His performance is a master class Fortunately Christian Bales Batman is almost a supporting character Bale is good but there is something around his mouth that stops him from being great The Dark Knight is visually stunning powerful and moving What else could anyone want,Positive
Dark yes complex ambitious Christopher Nolan and his cowriter Jonathan Nolan deserve a standing ovation I dont usually go for loud movies filled with mindless gore and violence The Dark Knight is certainly loud and violent but its not mindless It has depth and soul Even the Joker in an extraordinary creation by Heath Ledger is deeply human The natural petulance of Christian Bale makes his ego and alter ego the most fascinating and complex of all film superheroes Part of the genius of this movie is that Batman himself in screen time is not really the lead My attention was captivated by Heath Ledger and he determines and inspires the breathtaking atmosphere that envelopes Gotham as well as us The aplomb of Christopher Nolan as a director is mind blowing and his secret I believe is his obvious respect for his audience What hes done is to elevate a popular genre into Shakesperean proportions Bravo,Positive
I had the pleasure to watch this movie in an IMAX theatre in London it advertises itself with the slogan Biggest screen in the UK which was one of the greatest movie experiences I had in my life And it was my first movie in an IMAX theatre I can only recommend it for anyone who has the chance to watch it even if not the entire movie is shot for an IMAX theatre this still is able to blow someone away Great visuals combined with a great story and superb actingThe movie could also have been called The Joker but even with Heath Ledgers great performance this still is a Batman movie And The Dark Knight is clear enough even without the Batman in the title I simply loved the movie but I heard some complaints from some friends It seems that some might have a problem with the depiction of the characters I loved Heath Ledger but there are a few out there who would have wanted to see him even crazier or the plot threads especially what is done with the character of Aaron Eckhart Although I can see why that might be a problem for fans of the comic books I still stand by my vote This is the best Batman movie ever until hopefully Nolan and Bale make the next one,Positive
Im just gonna start off by saying I LOVE this movieIts one of my favorites of all time I honestly cant think of too much wrong with this movie other than its a little long and Batmans by now infamous voice But everything else is top notch The actingstoryatmosphereand actions scenes are all amazing If you havent seen this movie see it right now I went into this not expecting to much but I came out blown away I cant imagine any movie being much better Ill just have to wait for The Dark Knight Rises to release to see if anything can be better Until then this stands as the best movie Ive ever seen,Positive
Normally I would give this a  out of  but since I cant Ill give it a seven How anyone could rate this title that high on IMDbcom is amazing to me Its mostly fanboys that believe this is the best movie ever and the best thing since sliced bread but what most fanboys fail to notice because they lack objectivity is that while the movie is a good one it is quite flawed and nowhere near as perfect as many of the fanboys have ratedA couple things I noticed when I watch this movie the movie goes on way too long Even my friends agreed and they are huge Batman fans There are about  or  points in the movie where it seems like it will end but goes on for another  minutes And while Heath Ledgers performance is top notch and Bale as Bruce Wayne is pulled of quite flawlessly his Batman persona is a bit weak The voice is annoying and many times throughout the movie he seemingly plays second fiddleI cant know Eckharts casting as Two Face but Maggie Gyllenhall just doesnt seem to fit and just seems to be a standalone piece of eye candyThere are many things I can harp about but Im not here to knock the movie There are good points cinematography great Joker and Two Face played excellently by their counterparts mood was effective and story flowed quite well albeit a bit too longBUT this movie doesnt even belong in mention to some of the greats and shame on many movie fans that had this movie rated higher than such classics as The Godfather Obviously the fanboys bought way too much into the hype,Positive
If someone else acted as Joker I would give the movie  stars The majority of people ended up loving the villain more than the hero and that rarely happends in moviesRest in peace Heath Ledger,Positive
I saw the dark knight about three years ago when I was in the th grade And I was blown away at how beautifully done it was the camera work the acting the story it all took me by surprise It is to this day one of the best movies I have ever seen or will see No other movie can impact you in such an intense way than The Dark Knight It is a movie worth seeing due to the fact that the workers put so much time and effort into this one film and they did not want to waste money putting up garbage So Christopher Nolan thank you for not wasting our time instead earning our time with this film To this day I still am anxious to see the movie at home I recommend it to anyone who likes action movies in general To anyone who doesnt dont waste your time write bad reviews about this film,Positive
Today its ranking is  out of top  movies of all times That is absurd This movie is great  but by no means best movie ever It is not a movie that revolutionizes movies as we see them It is hard for me to imagine why someone would think this movie is better than breakthroughs like The godfather Pulp fiction Matrix etc I loved the movie  but nothing in the movie was revolutionary The story line was not extraordinary The gadgets were great but we have seen better sweet tires on the bat mobile  bike Acting was great By all means worthwhile of watching  but I am actually very disappointed to see it at  movie of all times,Positive
