Reviews,Mood
Back to the movie clearly the actors are first rate and the dialog is entertaining I particularly enjoy the incarnation of The Joker by Heath Ledger which may bring Heath a posthumous Oscar nod the writers give him some clever lines like the you complete me phrase in the above quote from Jerry MaGuire But you know what Im not buying Im not buying that this Batman flick because of its dark humor is better than other comicbookinspired movies aside from the rare Joker line nothing in this movie is humorous dark or otherwise In fact its uncommonly depressing I suppose Knight is similar to the later Spider Man films in which were to solemnly consider the deep emotional conflicts presented to a postpubescent boy who has been given superhuman powersMy friends these are movies and movie advocates that take themselves way too seriously For my complete review of this movie and for other movie and book reviews please visit my site TheCoffeeCoastercomBrian Wright Copyright ,Positive
So simple dont do like me and waste  years saying meh Ill watch it anothertime just watch it when you find it You will enjoy it,Positive
Okay lets say this from the word goShawshank Redmeption might as well be called Fantasy Island visits Alcatraz  Lets just see how many shopworn prison movie cliches the picture has  A corrupt warden   Brutal guards   Homosexual gang attacks at least not in a shower   Innocent man sent to jail has a journey of self discovery   All illiterate convicts speak flawless english and spout witty phrases   No racial tension in fact no blacks with any character except Morgan Freeman doing a version of the kindly butler from a Shirley Temple pictureafter all it appears all he is there for is to be the witty sidekick and supply cigarettes and pictures of scantily clad women   A black man runs the illegal smuggling into the prison   Nobody in jail is bad or even seems like they could be violent they are all a bunch of happy go lucky working class stiffs  I guess this means we should be able to identify with rapists and murderers as they are just like usa chilling thought   Nobody except the hero ever attempts an escape or seems to want to escape  Over use of metaphors such as rain as a metaphor of washing himself clean of his past and putting on a new lifeI am not saying that all prison films have to be a version of Scared Straight but come on this is clearly a fantasy prison and the very unreality of it undercuts anything the movie might be trying to say  The Shawshank Redemption is in this reviewers eye nothing more than another holier than thou morality play packaged as gritty realism all because it is based in a prisonhohum,Positive
Inception is a highly overrated film But its still solid and I would recommend it potentially based on the viewerThere are many reasons to dislike Inception a lack of emotional depth huge pacing issues predictability and an overemphasis on the concept of shared dreams rather than the plotLet us be honest the characters are rather dull And the film is so overly complex it thinks its the next Matrix its not its no where near as good Visually Inception is stunning and Leonardo DiCaprio is excellent as always but this does not excuse the poor plot the music is good however Confusing forgettable but has moments of brilliance Most likely if someone says its a  theyre likely just following the crowd,Positive
The target audience for this movie would be anyone under  Kids enjoyed it but it was just meh for me Basically about the main character not fitting in with the traditional norms just be yourself,Negative
Originally I wrote a very long review of Shawshank Redemption but ive decided not to post it  Instead id just like to say that i would compare the movie to a poem that i wrote in th grade  im not going to write the poem out because i dont have it with me right now but it had to do with rainbows and waterfalls and following your dreams In other words it was complete bs I just wrote what i thought were some typical poetic themes and threw them together hoping people would like it  My plan succeeded the teacher thought it was the best in the class and it got published in the school newspaper Seems like the director of The Shawshank Redemption Frank Darabont and the writer of the book Stephen King did the same thing  The movie is technically well made and does succeed at telling the story  I admit that I got caught up in the ending  But no matter how much you try to defend it its still pure Hollywood  Cliche here and there  I recognize this for what it is  a directors attempt to manipulate peoples emotions which due to a large amount of naivite in the world succeeds  He did the same thing with The Green Mile with more success  Now with The Majestic I am glad to see that it seems that most reviewers and many moviegoers have recognized this and given it generally lower reviews than his first two films  Finally  Now I only hope people will start to give Shawshank lower ratings and get it down from the heights of the top  list,Positive
Great acting of JokerSalute to him The best storyline ever watched Great directionperfect for action user and the best movie i have seen this is the great movie so watch it and enjoy it very muchbest of luck for this great movieyou will like it and make it yours favorite and add it in your watch list enjoy rate it great acting great direction great performance great showdown great villain great hero i like it very much the best movie i have seen i will watch it again and again and enjoy it very much i have give it  stars and i if there were  stars option i will give  out of  i prefer you to watch it and enjoy it very much as you can,Positive
It was a wonderful experience to watch Heath Ledgers Final performance on the big screen The film was fantastic along with the film techniques shown especially the interrogation scene The film itself is an is an extraordinary experience It will keep you glued to your seat as you take in what Nolan had to offer its audience All the actors especially Heath Ledger as the Joker are an unforgettable I am pretty sure the rest that going to view the film or have already seen it will agree Although not a masterpiece it belongs to be with the best films in history Id be shocked if Heath is not nominated for an Oscar or any other film related Oscars such as Sound or Cimenitography this film is a well notable film to be considered an Epic,Positive
I love movies and this is the first movie i fell asleep to cause it was that boring omg they never spoke a single word for the first  minutes all they did was dance and sing and i didnt really get the concept of the movie James cordon and rebel wilson were so funny tho other than that the movie really sucked and its a one star for me,Negative
This was such a great movie I loved every second of it The animation was of high quality and voice acting was sentimental and good Really looking forward to a second part,Negative
